dataset\0_frog.png,0.0012585841933387383,3.937336874636415e-07,2.8895398519990586e-10,3.9149524717158946e-11,3.2750591792782886e-21,7.679901196911651e-15,2.571449696373583e-21
dataset\10000_automobile.png,0.001837176058170284,5.980181522444588e-07,2.6421747197306564e-10,1.0302216688507252e-10,1.6911487236015405e-20,7.875818778491913e-14,-1.70458556533295e-21
dataset\10001_frog.png,0.0013326269958525159,1.2354541882346328e-08,8.916748113775016e-10,2.9228238854300527e-11,-1.0140728775829222e-22,-1.5509172279866835e-15,-4.7174456247464665e-21
dataset\10002_frog.png,0.0015922514506624443,1.5239609310561763e-07,3.9782668744018795e-10,4.833446566408876e-11,1.9036617637913063e-21,1.733239003005976e-14,-6.4264026238084954e-21
dataset\10003_ship.png,0.0012183227983796367,4.874336383823291e-07,5.265215980468685e-11,2.545644426009473e-11,4.403253442848227e-22,-1.4036045861687234e-14,8.213968420240266e-22
dataset\10004_ship.png,0.001019693458415221,7.698433350646067e-08,3.521989178190416e-11,1.393370985900438e-12,9.749496330504347e-24,2.393130578691478e-16,4.736794718097056e-25
dataset\10005_cat.png,0.0012724633130277942,2.7958597490356498e-08,1.355730523281165e-10,5.881831088120966e-12,9.357255301144534e-23,-8.157546856504217e-16,-1.372282516199551e-22
dataset\10006_deer.png,0.002254474219313982,9.979381441955525e-08,6.448431039580534e-09,5.497343421477085e-10,8.472232191516785e-19,1.4659641856557654e-13,-5.9457267439949e-19
dataset\10007_frog.png,0.0023298531328154325,2.537794516003135e-07,5.840303574069489e-10,1.3160949121062768e-11,-5.134653678236652e-22,2.429176946314371e-15,1.0333044377745689e-21
dataset\10008_airplane.png,0.001957625450274444,2.1826786951111775e-06,9.217729153861127e-10,2.466938248627451e-10,1.173100212838341e-19,3.568421700308623e-13,8.784641388701546e-21
dataset\10009_frog.png,0.0013405508191877396,1.7757581252185592e-07,9.170280493039045e-10,2.2010454082865915e-10,3.601473582750724e-20,3.689989589388648e-14,9.209440785233527e-20
dataset\1000_truck.png,0.003613878858862144,1.911219425330106e-06,3.693393389356126e-09,8.88780631092839e-10,1.5949623661437483e-18,1.1193844039644773e-12,2.2166556892306197e-19
